customer_id,recency,frequency,monetary,avg_order_value,unique_categories,age,city,gender,churn
1000,45,5,26529.59,5305.918,4,55,Pune,Male,0
1001,21,5,36943.19,7388.638000000001,3,30,Ahmedabad,Female,0
1002,99,4,30368.29,7592.0725,2,60,Mumbai,Male,0
1003,215,2,6748.25,3374.125,2,31,Kolkata,Female,1
1004,8,3,11132.1,3710.7000000000003,3,40,Hyderabad,Female,0
1005,536,1,1119.54,1119.54,1,47,Delhi,Male,1
1006,26,4,24538.56,6134.64,3,40,Ahmedabad,Male,0
1007,144,3,8999.41,2999.8033333333333,3,31,Bangalore,Male,0
1008,137,2,16334.560000000001,8167.280000000001,2,61,Delhi,Female,0
1009,26,5,19651.56,3930.3120000000004,4,62,Bangalore,Male,0
1010,80,4,19556.4,4889.1,4,25,Mumbai,Male,0
1011,90,5,10284.31,2056.862,3,29,Chennai,Female,0
1012,34,1,714.32,714.32,1,30,Bangalore,Female,0
1013,320,3,19870.440000000002,6623.4800000000005,3,21,Chennai,Female,1
1014,139,3,16937.2,5645.733333333334,3,37,Mumbai,Female,0
1015,55,1,8044.18,8044.18,1,24,Ahmedabad,Female,0
1016,27,6,17015.66,2835.943333333333,4,42,Chennai,Female,0
1017,83,2,9470.29,4735.145,2,62,Hyderabad,Female,0
1018,24,8,23679.99,2959.99875,5,54,Mumbai,Male,0
1019,34,2,4971.12,2485.56,2,35,Mumbai,Male,0
1020,5,7,21910.09,3130.0128571428572,6,44,Bangalore,Female,0
1021,30,6,25269.239999999998,4211.54,5,40,Bangalore,Male,0
1022,88,5,24695.99,4939.198,4,18,Hyderabad,Male,0
1023,493,1,8079.81,8079.81,1,31,Hyderabad,Male,1
1024,174,6,20292.3,3382.0499999999997,4,64,Pune,Male,0
1025,294,2,2790.44,1395.22,1,42,Mumbai,Female,1
1026,171,3,7226.01,2408.67,3,37,Mumbai,Female,0
1027,15,4,20764.5,5191.125,3,38,Kolkata,Male,0
1028,309,6,18887.57,3147.9283333333333,5,47,Bangalore,Female,1
1030,26,2,11177.26,5588.63,2,58,Chennai,Male,0
1031,47,3,9324.84,3108.28,2,59,Delhi,Male,0
1032,382,1,5984.0,5984.0,1,27,Hyderabad,Female,1
1033,14,3,13639.98,4546.66,3,25,Delhi,Female,0
1034,121,3,27818.41,9272.803333333333,2,42,Kolkata,Male,0
1035,46,3,18711.13,6237.043333333334,3,63,Chennai,Female,0
1036,113,3,12882.01,4294.003333333333,3,64,Pune,Female,0
1037,14,3,5106.62,1702.2066666666667,2,33,Bangalore,Male,0
1038,49,5,26732.3,5346.46,4,32,Chennai,Male,0
1039,6,5,24584.05,4916.8099999999995,5,50,Hyderabad,Male,0
1040,25,6,19861.44,3310.24,3,64,Bangalore,Female,0
1041,24,3,11139.52,3713.1733333333336,3,25,Kolkata,Male,0
1042,121,7,16721.48,2388.782857142857,5,40,Kolkata,Male,0
1043,510,1,1517.92,1517.92,1,45,Mumbai,Female,1
1044,518,1,8164.32,8164.32,1,44,Bangalore,Female,1
1045,390,1,2822.97,2822.97,1,35,Ahmedabad,Female,1
1046,147,5,21533.7,4306.74,3,18,Ahmedabad,Male,0
1047,13,1,1473.6,1473.6,1,62,Hyderabad,Male,0
1048,37,4,6569.5,1642.375,3,34,Chennai,Female,0
1049,43,4,8771.68,2192.92,3,31,Bangalore,Female,0
1050,195,4,18516.78,4629.195,3,59,Kolkata,Female,1
1051,526,1,1419.29,1419.29,1,39,Kolkata,Male,1
1052,10,3,9482.0,3160.6666666666665,3,28,Chennai,Female,0
1053,182,5,20312.08,4062.416,3,31,Bangalore,Female,1
1054,122,5,17419.38,3483.876,4,23,Hyderabad,Female,0
1055,272,2,10032.07,5016.035,2,21,Delhi,Female,1
1056,248,2,13212.94,6606.47,1,34,Chennai,Female,1
1057,12,3,9461.43,3153.81,3,55,Mumbai,Male,0
1058,236,3,4206.7,1402.2333333333333,3,37,Chennai,Female,1
1059,346,1,1985.24,1985.24,1,23,Delhi,Male,1
1060,79,6,17647.28,2941.213333333333,4,23,Ahmedabad,Male,0
1061,51,3,17633.29,5877.763333333333,3,42,Hyderabad,Male,0
1062,157,3,11333.32,3777.773333333333,3,32,Hyderabad,Female,0
1063,154,1,1301.97,1301.97,1,31,Delhi,Male,0
1064,85,3,20034.88,6678.293333333334,3,25,Bangalore,Female,0
1065,305,2,10088.56,5044.28,2,30,Bangalore,Male,1
1066,224,2,16368.400000000001,8184.200000000001,2,39,Delhi,Male,1
1067,104,3,11600.84,3866.9466666666667,3,26,Ahmedabad,Female,0
1068,21,5,24748.07,4949.614,5,62,Kolkata,Male,0
1070,82,1,951.24,951.24,1,32,Delhi,Male,0
1071,516,1,2313.97,2313.97,1,61,Mumbai,Female,1
1072,149,7,19303.58,2757.654285714286,5,59,Hyderabad,Male,0
1073,180,1,1775.8,1775.8,1,62,Delhi,Male,0
1074,74,6,18032.29,3005.3816666666667,4,46,Delhi,Female,0
1075,265,3,7532.72,2510.9066666666668,3,50,Ahmedabad,Female,1
1076,19,2,2418.5699999999997,1209.2849999999999,2,29,Ahmedabad,Male,0
1077,21,4,26286.22,6571.555,2,54,Hyderabad,Female,0
1078,174,3,13532.16,4510.72,2,29,Ahmedabad,Male,0
1079,299,1,10492.02,10492.02,1,34,Ahmedabad,Female,1
1080,409,1,2785.5,2785.5,1,32,Hyderabad,Female,1
1081,219,4,8100.449999999999,2025.1124999999997,4,24,Pune,Male,1
1082,34,5,13278.15,2655.63,4,62,Pune,Male,0
1083,421,2,1733.85,866.925,1,52,Chennai,Male,1
1084,282,1,10910.28,10910.28,1,40,Hyderabad,Female,1
1085,170,3,7936.57,2645.523333333333,2,18,Pune,Male,0
1086,28,5,15370.38,3074.076,4,30,Mumbai,Female,0
1087,88,3,20875.940000000002,6958.646666666667,3,52,Pune,Male,0
1088,194,2,14985.84,7492.92,2,56,Hyderabad,Male,1
